,public_client_id,taxa_Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,taxa_Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,taxa_Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides,taxa_Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenellaceae_R-7_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae_1.Clostridium_sensu_stricto_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales_vadinBB60_group.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_AD3011_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_UCG-001,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Agathobacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_3,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Fusicatenibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.GCA-900066575,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_FCS020_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_ND3007_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_NK4A136_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-001,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-004,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-010,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Marvinbryantia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Intestinibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Candidatus_Soleaferrea,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.DTU089,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.GCA-900066225,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Intestinimonas,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Negativibacillus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillospira,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium_5,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium_9,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_NK4A214_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-002,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-003,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-004,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-005,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-013,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus_2,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.UBA1819,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.nan,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelatoclostridium,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae_UCG-003,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Holdemania,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.nan,taxa_Bacteria.Firmicutes.Negativicutes.Selenomonadales.Acidaminococcaceae.Phascolarctobacterium,taxa_Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Bilophila,taxa_Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Parasutterella,taxa_Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae.Akkermansia
0,01001298,23,578,49,107017,973,4295,2118,25,841,44,77,105,195,156,0,4290,8476,12679,416,1627,1821,1886,1437,9114,15149,342,0,51,833,1277,709,736,119,9736,0,0,42,671,53,12,32584,444,8,499,106,846,15,222,412,80,1375,1312,247,400,2165,2457,0,8698,78,944,1512,0,166,35,4720,674,57,0
1,01001621,812,6857,0,85495,0,0,5358,2387,45,282,0,48,79,159,505,9281,402,44146,0,65,2555,0,72,5597,3589,16,0,0,384,0,299,0,10042,13198,528,2340,68,436,241,340,17397,1840,424,0,0,1873,1656,12018,2902,0,0,0,904,486,105,3490,0,786,670,4376,4699,0,224,491,4543,1850,0,0
2,01001661,18,0,94,31605,0,1289,853,308,1594,16,51,32,54,71,0,6077,1316,5601,0,0,502,0,71,795,4015,114,0,1695,873,791,215,93,1556,3134,0,20,5,1378,0,12,6913,38,13,106,9,61,42,32,71,21,689,351,120,122,1335,352,1414,0,34,221,58,1688,38,9,535,112,133,97
3,01001798,2439,2657,297,54320,751,4798,2228,1284,44,23,0,139,70,28,56,13180,3689,20076,0,470,2659,0,90,2327,6201,492,0,382,0,1381,521,46,15938,4450,52,37,67,212,66,14,37083,127,20,59,358,1082,0,2725,397,132,641,0,308,15,0,2491,7668,1421,0,3039,796,20,101,34,1810,436,2565,0
4,01002192,826,742,200,21014,201,1238,1305,124,799,275,0,361,129,42,0,1848,774,4394,200,0,911,381,33,1219,2865,78,989,1043,1079,407,231,114,1763,2440,0,43,18,448,0,7,17142,19,0,56,69,138,20,92,193,367,943,269,235,399,1742,1739,1715,720,38,1758,71,1368,41,29,0,132,1178,429
5,01002471,894,1185,352,86752,1485,3596,2940,133,240,52,2035,26,39,126,0,13146,2170,13256,0,0,3871,2969,43,6956,2039,42,0,2046,352,716,842,8,8425,8872,679,194,7,2626,10,62,30179,419,11,526,680,404,158,548,885,0,405,623,245,253,1896,1273,3184,0,53,679,26,3684,130,4,2391,0,3526,0
6,01002885,199,604,0,13836,438,776,2260,187,28,4,153,8125,205,95,0,3441,731,5116,486,663,2334,664,266,1019,1427,123,121,8153,786,2054,638,447,1423,5689,161,76,0,4255,5,4,20775,145,154,195,0,724,19,255,1015,5693,15507,4193,0,4338,77,416,5190,3856,14,7221,0,0,0,2122,0,247,245,0
7,01003411,6927,1117,194,75469,1707,8627,7350,1226,9825,165,293,685,452,158,386,12329,4134,9260,782,1258,2462,2614,206,2553,8755,245,4334,1016,3411,1298,1019,211,17429,10644,210,207,45,6457,54,37,21630,254,66,179,373,841,155,1548,802,686,5379,1729,562,1198,3948,18870,11202,11831,195,2871,377,1026,73,62,1476,701,491,0
8,01003555,728,1267,292,124787,902,5328,4304,127,197,126,0,51,69,60,105,3418,878,7330,0,1233,1753,903,10,5106,944,79,0,589,0,399,298,5,8484,6967,8,39,79,706,52,97,10652,819,0,623,335,950,400,809,1129,19,283,0,224,179,560,0,0,0,363,1750,94,2961,244,14,1455,833,191,65
9,01003662,2937,0,111,25835,308,1582,1830,335,2450,31,248,344,205,0,39,11050,1460,9361,477,716,3652,1356,113,1018,1857,205,714,2365,854,317,12,274,1226,7103,169,437,37,622,43,64,19926,53,12,420,82,237,18,2987,302,637,3073,718,0,601,286,6333,20596,4119,72,2228,7,2067,30,120,247,295,55,0
10,01003757,665,112,17,48318,972,442,0,23,103,9,39,0,0,0,0,2779,52,526,59,0,217,147,0,503,1321,25,21,713,0,129,18,18,1124,484,8,50,8,86,0,10,13298,76,10,101,58,220,59,14,132,75,0,94,13,0,90,4310,0,1082,46,161,0,196,37,0,1050,0,1088,0
11,01003758,23479,3885,219,122675,0,4924,3291,782,625,98,245,0,163,58,39,23478,5976,32924,1134,22,7481,3484,0,3967,17912,595,2839,44,377,3252,316,161,2243,13586,301,201,11,5107,40,52,70302,639,11,524,748,863,424,412,1318,280,200,721,630,65,4986,27946,46,14769,66,4923,444,2163,71,38,3100,731,4081,2740
12,01004037,9748,0,0,146143,1055,0,1759,183,0,0,196,0,0,0,13,7991,339,28815,0,0,0,4000,0,7774,5567,0,0,0,0,0,0,0,0,12358,121,1374,0,945,85,44,139,920,25,0,0,0,0,152,1209,0,0,0,0,0,0,0,29,2496,194,113,314,0,0,201,0,0,9195,0
13,01004350,1402,144,502,70904,0,3327,1320,711,3576,166,67,144,24,93,21,8463,1884,4815,108,105,602,1497,55,1719,6436,35,641,6078,5526,904,169,34,2817,5201,276,389,44,1205,41,40,18671,511,39,223,339,492,281,339,484,589,1609,2249,95,315,1757,16345,2581,10896,84,3291,428,110,167,10,0,311,4102,247
14,01004575,958,1175,181,10037,596,4330,683,940,3443,106,47,750,252,86,49,8915,2696,10044,530,516,1905,4401,42,695,4066,394,2750,704,776,99,217,675,2279,8391,83,103,40,837,26,56,15980,19,41,162,460,109,50,300,222,1549,2741,692,244,808,852,3910,4242,4124,10,1769,241,1673,28,0,0,29,804,417
15,01004596,0,0,927,35053,0,0,0,941,656,986,0,148,116,45,406,663,604,7685,0,0,4321,3451,184,2198,1690,95,224,579,383,614,169,41,2371,4943,236,0,638,1122,126,936,3786,731,114,340,959,1553,31,1791,888,2195,843,0,634,1572,858,854,8757,5853,416,5677,1631,0,50,558,0,0,0,4416
16,01005100,2377,2095,339,46639,1055,8297,9853,164,2401,531,549,222,482,0,204,1721,429,5541,587,580,1528,1884,66,2812,1943,160,0,1175,1976,155,551,148,1350,6994,0,129,307,1192,107,183,14361,482,109,447,619,1647,116,551,1931,1696,7647,129,281,1610,188,579,5043,3494,301,8847,1203,974,115,78,2199,574,44,102
17,01005890,4204,383,0,73478,0,0,1963,425,0,0,1946,0,212,0,0,7966,10362,15069,1126,62,3838,9007,0,1197,8683,61,1387,2892,637,1285,0,6,2189,9314,403,471,13,5214,10,0,43846,894,0,251,598,462,0,131,72,0,0,432,0,0,3603,2969,0,6226,70,375,548,14277,9,107,1616,489,0,0
18,01005935,0,152,0,13849,35,3742,1420,20,951,1046,0,3061,946,275,38,1292,5700,14571,1540,584,706,4132,82,1291,838,545,2159,2338,202,380,0,893,1220,12041,0,75,0,5320,12,92,8294,106,180,196,70,948,199,375,1177,1949,5649,1025,0,2399,2554,2919,21022,5321,25,5520,116,427,45,0,959,742,66,3442
19,01006695,2346,1088,97,97465,1512,5646,2525,1146,11293,195,113,309,232,32,63,23149,3264,5627,408,619,2219,5365,184,4526,7492,273,1128,1094,6321,1604,85,170,4202,6921,136,95,54,1159,24,50,42775,140,12,469,329,310,178,472,554,2020,7203,3457,195,948,1118,4194,6701,7009,53,2244,35,2592,89,5,3332,310,3579,552
20,01007032,349,214,7,71654,0,960,510,117,0,0,29,32,0,0,0,4408,94,3771,0,0,0,1104,86,1245,0,0,0,66,0,1466,149,0,3134,595,98,76,0,1949,11,0,9267,516,0,65,0,140,0,0,0,0,71,0,0,0,0,695,0,1133,98,102,0,810,0,45,1450,120,686,0
