Name	kingdom	phylum	class	order	family	genus
Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriales_Incertae_Sedis.nan	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	nan
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.DNF00809	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	DNF00809
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Eggerthella	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Gordonibacter	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.nan	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	nan
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.nan.nan	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	nan	nan
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Barnesiellaceae.Coprobacter	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Marinifilaceae.Butyricimonas	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Muribaculaceae.nan	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	nan
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Bacteria.Cyanobacteria.Melainabacteria.Gastranaerophilales.nan.nan	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	nan	nan
Bacteria.Cyanobacteria.Oxyphotobacteria.Chloroplast.nan.nan	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	nan	nan
Bacteria.Firmicutes.Bacilli.Bacillales.Family_XI.Gemella	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XI	Gemella
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenellaceae_R-7_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.nan	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	nan
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae_1.Clostridium_sensu_stricto_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales_vadinBB60_group.nan	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_vadinBB60_group	nan
Bacteria.Firmicutes.Clostridia.Clostridiales.Defluviitaleaceae.Defluviitaleaceae_UCG-011	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitaleaceae_UCG-011
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Anaerofustis	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis
Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_AD3011_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII_AD3011_group
Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_UCG-001	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII_UCG-001
Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.nan	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	nan
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Agathobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.CAG-56	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	CAG-56
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_1
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_2
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_3
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Eisenbergiella	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Fusicatenibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.GCA-900066575	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	GCA-900066575
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Hungatella	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_FCS020_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_FCS020_group
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_ND3007_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_ND3007_group
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-001	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-001
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-004	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-004
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-008	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-008
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-010	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-010
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Marvinbryantia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Sellimonas	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Shuttleworthia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Tyzzerella	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Tyzzerella_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella_3
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.UC5-1-2E3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	UC5-1-2E3
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.nan	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	nan
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Peptococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.nan	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	nan
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Intestinibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Terrisporobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerofilum	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Angelakisella	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Angelakisella
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Candidatus_Soleaferrea	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Candidatus_Soleaferrea
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Caproiciproducens	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.DTU089	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	DTU089
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Fournierella	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.GCA-900066225	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	GCA-900066225
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Hydrogenoanaerobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Hydrogenoanaerobacterium
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Intestinimonas	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Negativibacillus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Negativibacillus
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillospira	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
